mesh_term,primary_category,category_label
Cyclopentolate,childrens_health,Children's Health
Cyclophosphamide,cancer,Cancer
Cyclosporine,blood_immune,Blood & Immune Disorders
Cystectomy,cancer,Cancer
Cystoscopy,kidney_urinary,Kidney & Urinary Health
Cysts,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Cytochrome P-450 CYP2D6,cancer,Cancer
Cytokines,digestive_liver,Digestive System & Liver
Cytological Techniques,kidney_urinary,Kidney & Urinary Health
Cytomegalovirus,infections,Infections & Infectious Disease
Cytomegalovirus Infections,infections,Infections & Infectious Disease
Cytoreduction Surgical Procedures,cancer,Cancer
DMF Index,dental_oral,Dental & Oral Health
DNA,childrens_health,Children's Health
DNA Fragmentation,brain_nervous_system,Brain & Nervous System
DNA Helicases,medications_drug_safety,Medications & Drug Safety
DNA Methylation,womens_reproductive,Women's & Reproductive Health
DNA Mutational Analysis,cancer,Cancer
DNA Primers,medications_drug_safety,Medications & Drug Safety
DNA Probes,medications_drug_safety,Medications & Drug Safety
DNA Repair,womens_reproductive,Women's & Reproductive Health
DNA Transposable Elements,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
DNA Virus Infections,infections,Infections & Infectious Disease
"DNA, Neoplasm",cancer,Cancer
"DNA, Plant",medications_drug_safety,Medications & Drug Safety
"DNA, Viral",infections,Infections & Infectious Disease
DNA-Binding Proteins,dental_oral,Dental & Oral Health
Dark Adaptation,eye_health,Eye Health
Data Collection,emergency_critical_care,Emergency & Critical Care
"Data Interpretation, Statistical",medications_drug_safety,Medications & Drug Safety
"Databases, Factual",cancer,Cancer
Datasets as Topic,mental_health,Mental Health
Deafness,childrens_health,Children's Health
Deamino Arginine Vasopressin,heart_blood_vessels,Heart & Blood Vessels
"Death, Sudden, Cardiac",heart_blood_vessels,Heart & Blood Vessels
Debridement,infections,Infections & Infectious Disease
Decision Making,cancer,Cancer
"Decision Support Systems, Clinical",emergency_critical_care,Emergency & Critical Care
Decision Support Techniques,cancer,Cancer
"Decompression, Surgical",brain_nervous_system,Brain & Nervous System
Defecation,childrens_health,Children's Health
"Defibrillators, Implantable",heart_blood_vessels,Heart & Blood Vessels
Deglutition,cancer,Cancer
Deglutition Disorders,digestive_liver,Digestive System & Liver
Dehydroepiandrosterone Sulfate,public_health_prevention,Public Health & Prevention
Delayed Diagnosis,childrens_health,Children's Health
Delivery Rooms,womens_reproductive,Women's & Reproductive Health
Delivery of Health Care,digestive_liver,Digestive System & Liver
"Delivery, Obstetric",digestive_liver,Digestive System & Liver
Delphi Technique,digestive_liver,Digestive System & Liver
Delusions,mental_health,Mental Health
Dementia,ear_nose_throat,"Ear, Nose & Throat"
Demography,mental_health,Mental Health
Dendritic Cells,cancer,Cancer
Denmark,medications_drug_safety,Medications & Drug Safety
Dental Alloys,dental_oral,Dental & Oral Health
Dental Arch,dental_oral,Dental & Oral Health
Dental Caries,dental_oral,Dental & Oral Health
Dental Health Surveys,dental_oral,Dental & Oral Health
"Dental Implantation, Endosseous",dental_oral,Dental & Oral Health
Dental Materials,childrens_health,Children's Health
Dental Models,dental_oral,Dental & Oral Health
Dental Pulp,childrens_health,Children's Health
Dental Pulp Cavity,childrens_health,Children's Health
Dental Pulp Test,childrens_health,Children's Health
Dental Records,bones_joints_muscles,"Bones, Joints & Muscles"
"Dental Restoration, Permanent",dental_oral,Dental & Oral Health
Dental Stress Analysis,bones_joints_muscles,"Bones, Joints & Muscles"
Dentists,dental_oral,Dental & Oral Health
Deoxyribonucleases,infections,Infections & Infectious Disease
Depression,mental_health,Mental Health
"Depression, Postpartum",mental_health,Mental Health
Depressive Disorder,mental_health,Mental Health
"Depressive Disorder, Major",mental_health,Mental Health
Dermatitis,skin_dermatology,Skin & Dermatology
"Dermatitis, Allergic Contact",skin_dermatology,Skin & Dermatology
"Dermatitis, Atopic",skin_dermatology,Skin & Dermatology
"Dermatitis, Occupational",skin_dermatology,Skin & Dermatology
Dermatologic Surgical Procedures,infections,Infections & Infectious Disease
Dermatomyositis,bones_joints_muscles,"Bones, Joints & Muscles"
Developing Countries,cancer,Cancer
Device Removal,infections,Infections & Infectious Disease
Dexamethasone,breathing_lungs,Breathing & Lungs
Diabetes Complications,cancer,Cancer
Diabetes Mellitus,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Diabetes Mellitus, Experimental",hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Diabetes Mellitus, Type 1",hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Diabetes Mellitus, Type 2",hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Diabetes, Gestational",womens_reproductive,Women's & Reproductive Health
Diabetic Angiopathies,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Diabetic Foot,skin_dermatology,Skin & Dermatology
Diabetic Retinopathy,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Diagnosis, Differential",brain_nervous_system,Brain & Nervous System
Diagnosis-Related Groups,cancer,Cancer
Diagnostic Errors,womens_reproductive,Women's & Reproductive Health
Diagnostic Imaging,emergency_critical_care,Emergency & Critical Care
"Diagnostic Techniques, Ophthalmological",eye_health,Eye Health
"Diagnostic Tests, Routine",cancer,Cancer
Diagnostic and Statistical Manual of Mental Disorders,mental_health,Mental Health
Diarrhea,dental_oral,Dental & Oral Health
Diastole,heart_blood_vessels,Heart & Blood Vessels
Diet,heart_blood_vessels,Heart & Blood Vessels
Diet Records,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Diet Therapy,childrens_health,Children's Health
"Diet, Atherogenic",heart_blood_vessels,Heart & Blood Vessels
"Diet, Diabetic",hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Diet, Gluten-Free",childrens_health,Children's Health
Dietary Carbohydrates,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Dietary Fats,heart_blood_vessels,Heart & Blood Vessels
Dietary Fiber,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Dietary Proteins,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Dietary Supplements,childrens_health,Children's Health
Dietetics,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Diffusion Magnetic Resonance Imaging,cancer,Cancer
Diffusion of Innovation,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Digestive System Abnormalities,childrens_health,Children's Health
Digestive System Surgical Procedures,digestive_liver,Digestive System & Liver
Digital Rectal Examination,cancer,Cancer
Digoxin,cancer,Cancer
Dilatation,heart_blood_vessels,Heart & Blood Vessels
"Dilatation, Pathologic",heart_blood_vessels,Heart & Blood Vessels
Dimethylpolysiloxanes,childrens_health,Children's Health
Diphosphonates,childrens_health,Children's Health
Disability Evaluation,brain_nervous_system,Brain & Nervous System
Disabled Persons,medications_drug_safety,Medications & Drug Safety
Disaster Planning,emergency_critical_care,Emergency & Critical Care
Discriminant Analysis,childrens_health,Children's Health
Discrimination (Psychology),eye_health,Eye Health
Discrimination Learning,ear_nose_throat,"Ear, Nose & Throat"
Disease Management,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Disease Models, Animal",heart_blood_vessels,Heart & Blood Vessels
Disease Notification,infections,Infections & Infectious Disease
Disease Progression,brain_nervous_system,Brain & Nervous System
Disease Susceptibility,womens_reproductive,Women's & Reproductive Health
Disease-Free Survival,cancer,Cancer
Disorders of Excessive Somnolence,breathing_lungs,Breathing & Lungs
"Disruptive, Impulse Control, and Conduct Disorders",mental_health,Mental Health
Dissociative Disorders,mental_health,Mental Health
Distance Perception,brain_nervous_system,Brain & Nervous System
"Diverticulitis, Colonic",digestive_liver,Digestive System & Liver
Dizziness,medications_drug_safety,Medications & Drug Safety
Dobutamine,heart_blood_vessels,Heart & Blood Vessels
Documentation,medications_drug_safety,Medications & Drug Safety
Dogs,heart_blood_vessels,Heart & Blood Vessels
Donor Selection,kidney_urinary,Kidney & Urinary Health
Dopamine,brain_nervous_system,Brain & Nervous System
Dopamine Agonists,mental_health,Mental Health
Dopamine Antagonists,brain_nervous_system,Brain & Nervous System
Dose Fractionation,breathing_lungs,Breathing & Lungs
"Dose-Response Relationship, Drug",medications_drug_safety,Medications & Drug Safety
"Dose-Response Relationship, Radiation",medications_drug_safety,Medications & Drug Safety
Double-Balloon Enteroscopy,digestive_liver,Digestive System & Liver
Double-Blind Method,medications_drug_safety,Medications & Drug Safety
Down Syndrome,childrens_health,Children's Health
Doxorubicin,cancer,Cancer
Drainage,ear_nose_throat,"Ear, Nose & Throat"
Drinking,digestive_liver,Digestive System & Liver
Drowning,emergency_critical_care,Emergency & Critical Care
Drug Administration Schedule,brain_nervous_system,Brain & Nervous System
Drug Carriers,infections,Infections & Infectious Disease
Drug Combinations,childrens_health,Children's Health
Drug Costs,medications_drug_safety,Medications & Drug Safety
Drug Delivery Systems,skin_dermatology,Skin & Dermatology
Drug Interactions,medications_drug_safety,Medications & Drug Safety
Drug Monitoring,childrens_health,Children's Health
Drug Overdose,skin_dermatology,Skin & Dermatology
Drug Packaging,childrens_health,Children's Health
Drug Prescriptions,childrens_health,Children's Health
"Drug Resistance, Bacterial",infections,Infections & Infectious Disease
"Drug Resistance, Viral",infections,Infections & Infectious Disease
Drug Resistant Epilepsy,brain_nervous_system,Brain & Nervous System
Drug Storage,infections,Infections & Infectious Disease
Drug Synergism,blood_immune,Blood & Immune Disorders
Drug Therapy,medications_drug_safety,Medications & Drug Safety
"Drug Therapy, Combination",heart_blood_vessels,Heart & Blood Vessels
Drug Users,medications_drug_safety,Medications & Drug Safety
Drug Utilization,medications_drug_safety,Medications & Drug Safety
Drug-Eluting Stents,heart_blood_vessels,Heart & Blood Vessels
Drug-Related Side Effects and Adverse Reactions,digestive_liver,Digestive System & Liver
Dura Mater,bones_joints_muscles,"Bones, Joints & Muscles"
Durapatite,bones_joints_muscles,"Bones, Joints & Muscles"
"Dysentery, Bacillary",infections,Infections & Infectious Disease
Dyslexia,childrens_health,Children's Health
Dyslipidemias,heart_blood_vessels,Heart & Blood Vessels
Dyspepsia,infections,Infections & Infectious Disease
Dysphonia,emergency_critical_care,Emergency & Critical Care
Dyspnea,cancer,Cancer
Early Detection of Cancer,cancer,Cancer
Early Diagnosis,childrens_health,Children's Health
Eating,digestive_liver,Digestive System & Liver
"Echinococcosis, Hepatic",digestive_liver,Digestive System & Liver
Echo-Planar Imaging,cancer,Cancer
Echocardiography,heart_blood_vessels,Heart & Blood Vessels
"Echocardiography, Doppler",heart_blood_vessels,Heart & Blood Vessels
"Echocardiography, Transesophageal",heart_blood_vessels,Heart & Blood Vessels
Eclampsia,childrens_health,Children's Health
"Economics, Hospital",digestive_liver,Digestive System & Liver
Eczema,skin_dermatology,Skin & Dermatology
Edema,womens_reproductive,Women's & Reproductive Health
Education of Intellectually Disabled,medications_drug_safety,Medications & Drug Safety
"Education, Distance",digestive_liver,Digestive System & Liver
"Education, Graduate",digestive_liver,Digestive System & Liver
"Education, Medical",emergency_critical_care,Emergency & Critical Care
"Education, Medical, Continuing",medications_drug_safety,Medications & Drug Safety
"Education, Medical, Graduate",ear_nose_throat,"Ear, Nose & Throat"
"Education, Medical, Undergraduate",emergency_critical_care,Emergency & Critical Care
"Education, Nursing, Continuing",womens_reproductive,Women's & Reproductive Health
"Education, Public Health Professional",digestive_liver,Digestive System & Liver
"Education, Special",childrens_health,Children's Health
Educational Measurement,emergency_critical_care,Emergency & Critical Care
Educational Status,childrens_health,Children's Health
Educational Technology,medications_drug_safety,Medications & Drug Safety
"Efficiency, Organizational",medications_drug_safety,Medications & Drug Safety
Egypt,kidney_urinary,Kidney & Urinary Health
Elasticity,heart_blood_vessels,Heart & Blood Vessels
Elastomers,dental_oral,Dental & Oral Health
Elective Surgical Procedures,heart_blood_vessels,Heart & Blood Vessels
Electric Countershock,heart_blood_vessels,Heart & Blood Vessels
Electric Stimulation Therapy,digestive_liver,Digestive System & Liver
Electrocardiography,heart_blood_vessels,Heart & Blood Vessels
"Electrocardiography, Ambulatory",heart_blood_vessels,Heart & Blood Vessels
Electroencephalography,mental_health,Mental Health
Electrolytes,digestive_liver,Digestive System & Liver
Electromyography,brain_nervous_system,Brain & Nervous System
Electronic Health Records,medications_drug_safety,Medications & Drug Safety
"Electrophysiologic Techniques, Cardiac",heart_blood_vessels,Heart & Blood Vessels
Electrosurgery,womens_reproductive,Women's & Reproductive Health
Embalming,medications_drug_safety,Medications & Drug Safety
Embolism,heart_blood_vessels,Heart & Blood Vessels
"Embolism, Air",digestive_liver,Digestive System & Liver
"Embolization, Therapeutic",emergency_critical_care,Emergency & Critical Care
Embryo Implantation,womens_reproductive,Women's & Reproductive Health
Emergencies,digestive_liver,Digestive System & Liver
Emergency Medical Service Communication Systems,brain_nervous_system,Brain & Nervous System
Emergency Medical Services,emergency_critical_care,Emergency & Critical Care
Emergency Medical Technicians,emergency_critical_care,Emergency & Critical Care
Emergency Medicine,emergency_critical_care,Emergency & Critical Care
Emergency Nursing,emergency_critical_care,Emergency & Critical Care
"Emergency Service, Hospital",emergency_critical_care,Emergency & Critical Care
Emergency Treatment,emergency_critical_care,Emergency & Critical Care
Emigrants and Immigrants,infections,Infections & Infectious Disease
Emotions,childrens_health,Children's Health
Empathy,medications_drug_safety,Medications & Drug Safety
Empirical Research,infections,Infections & Infectious Disease
Employment,infections,Infections & Infectious Disease
End Stage Liver Disease,kidney_urinary,Kidney & Urinary Health
Endarterectomy,dental_oral,Dental & Oral Health
"Endarterectomy, Carotid",medications_drug_safety,Medications & Drug Safety
Endocarditis,heart_blood_vessels,Heart & Blood Vessels
"Endocarditis, Bacterial",heart_blood_vessels,Heart & Blood Vessels
Endocrine Surgical Procedures,cancer,Cancer
Endolymphatic Hydrops,ear_nose_throat,"Ear, Nose & Throat"
Endometrial Neoplasms,cancer,Cancer
Endometriosis,cancer,Cancer
Endometrium,womens_reproductive,Women's & Reproductive Health
Endomyocardial Fibrosis,heart_blood_vessels,Heart & Blood Vessels
Endoscopy,digestive_liver,Digestive System & Liver
"Endoscopy, Gastrointestinal",digestive_liver,Digestive System & Liver
Endosonography,childrens_health,Children's Health
Endothelin Receptor Antagonists,digestive_liver,Digestive System & Liver
Endothelin-1,kidney_urinary,Kidney & Urinary Health
"Endothelium, Vascular",childrens_health,Children's Health
Endovascular Procedures,emergency_critical_care,Emergency & Critical Care
Endpoint Determination,heart_blood_vessels,Heart & Blood Vessels
Enema,digestive_liver,Digestive System & Liver
Energy Intake,heart_blood_vessels,Heart & Blood Vessels
Energy Metabolism,heart_blood_vessels,Heart & Blood Vessels
England,childrens_health,Children's Health
Enoxaparin,cancer,Cancer
Enteral Nutrition,childrens_health,Children's Health
Enteritis,brain_nervous_system,Brain & Nervous System
Enterococcus,medications_drug_safety,Medications & Drug Safety
Environment,ear_nose_throat,"Ear, Nose & Throat"
Environmental Exposure,childrens_health,Children's Health
Environmental Monitoring,medications_drug_safety,Medications & Drug Safety
Enzyme Inhibitors,digestive_liver,Digestive System & Liver
Enzyme-Linked Immunosorbent Assay,infections,Infections & Infectious Disease
Eosinophilia,brain_nervous_system,Brain & Nervous System
Eosinophils,breathing_lungs,Breathing & Lungs
Epidemiologic Methods,childrens_health,Children's Health
Epidural Abscess,cancer,Cancer
"Epilepsies, Partial",brain_nervous_system,Brain & Nervous System
Epilepsy,brain_nervous_system,Brain & Nervous System
"Epilepsy, Temporal Lobe",brain_nervous_system,Brain & Nervous System
Epinephrine,heart_blood_vessels,Heart & Blood Vessels
Epiphyses,childrens_health,Children's Health
Epirubicin,cancer,Cancer
Epoxy Compounds,bones_joints_muscles,"Bones, Joints & Muscles"
Equipment Design,bones_joints_muscles,"Bones, Joints & Muscles"
Equipment Failure,womens_reproductive,Women's & Reproductive Health
Equipment Failure Analysis,kidney_urinary,Kidney & Urinary Health
Ergocalciferols,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Erythrocyte Indices,digestive_liver,Digestive System & Liver
Erythrocyte Transfusion,blood_immune,Blood & Immune Disorders
Erythrocytes,medications_drug_safety,Medications & Drug Safety
Escherichia coli,medications_drug_safety,Medications & Drug Safety
Escherichia coli Infections,infections,Infections & Infectious Disease
Esomeprazole,digestive_liver,Digestive System & Liver
Esophageal Atresia,childrens_health,Children's Health
Esophageal Neoplasms,cancer,Cancer
Esophageal and Gastric Varices,digestive_liver,Digestive System & Liver
Esophageal pH Monitoring,digestive_liver,Digestive System & Liver
Esophagectomy,cancer,Cancer
Esophagitis,childrens_health,Children's Health
"Esophagitis, Peptic",digestive_liver,Digestive System & Liver
Esophagoscopy,digestive_liver,Digestive System & Liver
Esophagus,digestive_liver,Digestive System & Liver
Essential Tremor,brain_nervous_system,Brain & Nervous System
Esterification,medications_drug_safety,Medications & Drug Safety
Estradiol,cancer,Cancer
Estrogen Receptor alpha,medications_drug_safety,Medications & Drug Safety
Estrogen Receptor beta,medications_drug_safety,Medications & Drug Safety
Estrogen Replacement Therapy,blood_immune,Blood & Immune Disorders
Estrogens,emergency_critical_care,Emergency & Critical Care
"Estrogens, Conjugated (USP)",blood_immune,Blood & Immune Disorders
Etanercept,infections,Infections & Infectious Disease
Ethanol,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Ethnic Groups,ear_nose_throat,"Ear, Nose & Throat"
Europe,breathing_lungs,Breathing & Lungs
European Continental Ancestry Group,childrens_health,Children's Health
Euthyroid Sick Syndromes,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Evaluation Studies as Topic,womens_reproductive,Women's & Reproductive Health
Evidence-Based Medicine,womens_reproductive,Women's & Reproductive Health
Evidence-Based Practice,emergency_critical_care,Emergency & Critical Care
Evoked Potentials,brain_nervous_system,Brain & Nervous System
"Evoked Potentials, Auditory, Brain Stem",childrens_health,Children's Health
"Evoked Potentials, Motor",brain_nervous_system,Brain & Nervous System
"Evoked Potentials, Somatosensory",brain_nervous_system,Brain & Nervous System
Excitatory Postsynaptic Potentials,medications_drug_safety,Medications & Drug Safety
Exercise,heart_blood_vessels,Heart & Blood Vessels
Exercise Test,heart_blood_vessels,Heart & Blood Vessels
Exercise Therapy,brain_nervous_system,Brain & Nervous System
Exercise Tolerance,brain_nervous_system,Brain & Nervous System
Exfoliation Syndrome,eye_health,Eye Health
Exotoxins,childrens_health,Children's Health
Extensively Drug-Resistant Tuberculosis,breathing_lungs,Breathing & Lungs
External Fixators,bones_joints_muscles,"Bones, Joints & Muscles"
Extracellular Fluid,kidney_urinary,Kidney & Urinary Health
Extracellular Matrix Proteins,kidney_urinary,Kidney & Urinary Health
Extremities,emergency_critical_care,Emergency & Critical Care
Eye Diseases,eye_health,Eye Health
Eyelid Neoplasms,cancer,Cancer
Face,childrens_health,Children's Health
Facial Injuries,childrens_health,Children's Health
Facial Pain,childrens_health,Children's Health
Facial Paralysis,infections,Infections & Infectious Disease
"Factor Analysis, Statistical",breathing_lungs,Breathing & Lungs
Faculty,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Faculty, Medical",emergency_critical_care,Emergency & Critical Care
Fallopian Tubes,childrens_health,Children's Health
False Negative Reactions,cancer,Cancer
False Positive Reactions,cancer,Cancer
Family,childrens_health,Children's Health
Family Characteristics,childrens_health,Children's Health
Family Conflict,childrens_health,Children's Health
Family Practice,medications_drug_safety,Medications & Drug Safety
"Fasciitis, Necrotizing",childrens_health,Children's Health
Fasting,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Fathers,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Fatigue,medications_drug_safety,Medications & Drug Safety
"Fatty Acids, Omega-3",heart_blood_vessels,Heart & Blood Vessels
Fatty Liver,digestive_liver,Digestive System & Liver
"Fatty Liver, Alcoholic",digestive_liver,Digestive System & Liver
Fear,cancer,Cancer
Feasibility Studies,digestive_liver,Digestive System & Liver
Fecal Incontinence,kidney_urinary,Kidney & Urinary Health
Feces,blood_immune,Blood & Immune Disorders
Feedback,childrens_health,Children's Health
Feeding Behavior,childrens_health,Children's Health
"Fees, Medical",medications_drug_safety,Medications & Drug Safety
"Fees, Pharmaceutical",medications_drug_safety,Medications & Drug Safety
Fellowships and Scholarships,emergency_critical_care,Emergency & Critical Care
Female,childrens_health,Children's Health
Femoral Artery,dental_oral,Dental & Oral Health
Femoral Fractures,bones_joints_muscles,"Bones, Joints & Muscles"
Femoral Neck Fractures,bones_joints_muscles,"Bones, Joints & Muscles"
Femur,bones_joints_muscles,"Bones, Joints & Muscles"
Femur Neck,bones_joints_muscles,"Bones, Joints & Muscles"
Fenofibrate,medications_drug_safety,Medications & Drug Safety
Fentanyl,childrens_health,Children's Health
"Fertility Agents, Female",womens_reproductive,Women's & Reproductive Health
Fertilization in Vitro,womens_reproductive,Women's & Reproductive Health
Fetal Blood,womens_reproductive,Women's & Reproductive Health
Fetal Development,childrens_health,Children's Health
Fetal Diseases,womens_reproductive,Women's & Reproductive Health
Fetal Growth Retardation,childrens_health,Children's Health
Fetal Macrosomia,childrens_health,Children's Health
"Fetal Membranes, Premature Rupture",womens_reproductive,Women's & Reproductive Health
Fetal Weight,womens_reproductive,Women's & Reproductive Health
Fetus,womens_reproductive,Women's & Reproductive Health
Fever,blood_immune,Blood & Immune Disorders
Fiber Optic Technology,heart_blood_vessels,Heart & Blood Vessels
Fibrin Fibrinogen Degradation Products,digestive_liver,Digestive System & Liver
Fibrinogen,breathing_lungs,Breathing & Lungs
Fibrinolysis,heart_blood_vessels,Heart & Blood Vessels
Fibrinolytic Agents,brain_nervous_system,Brain & Nervous System
"Fibromatosis, Abdominal",childrens_health,Children's Health
"Fibromatosis, Aggressive",childrens_health,Children's Health
Fibromyalgia,medications_drug_safety,Medications & Drug Safety
Fibronectins,womens_reproductive,Women's & Reproductive Health
Fibrosis,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Fibula,cancer,Cancer
Fiducial Markers,cancer,Cancer
"Financing, Personal",medications_drug_safety,Medications & Drug Safety
Finger Joint,bones_joints_muscles,"Bones, Joints & Muscles"
Fingers,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Finland,heart_blood_vessels,Heart & Blood Vessels
Fires,emergency_critical_care,Emergency & Critical Care
First Aid,breathing_lungs,Breathing & Lungs
Fistula,bones_joints_muscles,"Bones, Joints & Muscles"
Fitness Centers,childrens_health,Children's Health
"Fixation, Ocular",eye_health,Eye Health
Flatulence,dental_oral,Dental & Oral Health
Flaviviridae Infections,infections,Infections & Infectious Disease
Florida,childrens_health,Children's Health
Flow Cytometry,womens_reproductive,Women's & Reproductive Health
Fluid Therapy,medications_drug_safety,Medications & Drug Safety
"Fluorescent Antibody Technique, Indirect",childrens_health,Children's Health
Fluoridation,dental_oral,Dental & Oral Health
Fluorodeoxyglucose F18,cancer,Cancer
Fluoroimmunoassay,blood_immune,Blood & Immune Disorders
Fluoroquinolones,infections,Infections & Infectious Disease
Fluoroscopy,childrens_health,Children's Health
Fluorouracil,cancer,Cancer
Focus Groups,emergency_critical_care,Emergency & Critical Care
Folic Acid,bones_joints_muscles,"Bones, Joints & Muscles"
Follicle Stimulating Hormone,womens_reproductive,Women's & Reproductive Health
Follicular Phase,womens_reproductive,Women's & Reproductive Health
Follow-Up Studies,cancer,Cancer
Food Supply,medications_drug_safety,Medications & Drug Safety
"Food, Fortified",childrens_health,Children's Health
Foot,ear_nose_throat,"Ear, Nose & Throat"
Foot Diseases,bones_joints_muscles,"Bones, Joints & Muscles"
Football,ear_nose_throat,"Ear, Nose & Throat"
Forecasting,childrens_health,Children's Health
Foreign-Body Migration,heart_blood_vessels,Heart & Blood Vessels
Forensic Toxicology,skin_dermatology,Skin & Dermatology
Forkhead Transcription Factors,blood_immune,Blood & Immune Disorders
Fournier Gangrene,medications_drug_safety,Medications & Drug Safety
Fracture Fixation,bones_joints_muscles,"Bones, Joints & Muscles"
"Fracture Fixation, Internal",bones_joints_muscles,"Bones, Joints & Muscles"
"Fracture Fixation, Intramedullary",bones_joints_muscles,"Bones, Joints & Muscles"
"Fractures, Bone",bones_joints_muscles,"Bones, Joints & Muscles"
"Fractures, Closed",bones_joints_muscles,"Bones, Joints & Muscles"
"Fractures, Comminuted",bones_joints_muscles,"Bones, Joints & Muscles"
"Fractures, Compression",bones_joints_muscles,"Bones, Joints & Muscles"
"Fractures, Spontaneous",childrens_health,Children's Health
Frail Elderly,infections,Infections & Infectious Disease
France,childrens_health,Children's Health
Free Radical Scavengers,womens_reproductive,Women's & Reproductive Health
Free Tissue Flaps,cancer,Cancer
Freezing,medications_drug_safety,Medications & Drug Safety
Friction,dental_oral,Dental & Oral Health
Frontal Lobe,dental_oral,Dental & Oral Health
Frontotemporal Lobar Degeneration,dental_oral,Dental & Oral Health
Frozen Sections,cancer,Cancer
Fruit,medications_drug_safety,Medications & Drug Safety
Functional Laterality,brain_nervous_system,Brain & Nervous System
Fundoplication,childrens_health,Children's Health
Fungemia,emergency_critical_care,Emergency & Critical Care
Fusidic Acid,childrens_health,Children's Health
G2 Phase,cancer,Cancer
GB virus C,infections,Infections & Infectious Disease
Gadolinium,medications_drug_safety,Medications & Drug Safety
Gadolinium DTPA,medications_drug_safety,Medications & Drug Safety
Gait,brain_nervous_system,Brain & Nervous System
"Gait Disorders, Neurologic",medications_drug_safety,Medications & Drug Safety
Gallbladder Diseases,digestive_liver,Digestive System & Liver
Gallbladder Neoplasms,cancer,Cancer
Gallstones,childrens_health,Children's Health
Galvanic Skin Response,heart_blood_vessels,Heart & Blood Vessels
Gambling,mental_health,Mental Health
Gastrectomy,digestive_liver,Digestive System & Liver
Gastric Acid,digestive_liver,Digestive System & Liver
Gastric Bypass,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Gastric Emptying,digestive_liver,Digestive System & Liver
Gastric Fundus,digestive_liver,Digestive System & Liver
Gastric Mucosa,childrens_health,Children's Health
Gastroenterology,medications_drug_safety,Medications & Drug Safety
Gastroepiploic Artery,digestive_liver,Digestive System & Liver
Gastroesophageal Reflux,digestive_liver,Digestive System & Liver
Gastrointestinal Agents,dental_oral,Dental & Oral Health
Gastrointestinal Diseases,digestive_liver,Digestive System & Liver
Gastrointestinal Hemorrhage,digestive_liver,Digestive System & Liver
Gastrointestinal Neoplasms,cancer,Cancer
Gastrointestinal Stromal Tumors,digestive_liver,Digestive System & Liver
Gastroparesis,digestive_liver,Digestive System & Liver
Gastroplasty,digestive_liver,Digestive System & Liver
Gastrostomy,digestive_liver,Digestive System & Liver
Gels,blood_immune,Blood & Immune Disorders
Gene Expression,mental_health,Mental Health
Gene Expression Profiling,womens_reproductive,Women's & Reproductive Health
Gene Expression Regulation,womens_reproductive,Women's & Reproductive Health
"Gene Expression Regulation, Neoplastic",cancer,Cancer
Gene Frequency,mental_health,Mental Health
Gene-Environment Interaction,kidney_urinary,Kidney & Urinary Health
General Practice,medications_drug_safety,Medications & Drug Safety
General Practitioners,cancer,Cancer
General Surgery,bones_joints_muscles,"Bones, Joints & Muscles"
"Genes, APC",medications_drug_safety,Medications & Drug Safety
"Genes, abl",blood_immune,Blood & Immune Disorders
"Genes, erbB-1",cancer,Cancer
Genetic Association Studies,medications_drug_safety,Medications & Drug Safety
"Genetic Diseases, Inborn",digestive_liver,Digestive System & Liver
Genetic Linkage,childrens_health,Children's Health
Genetic Markers,mental_health,Mental Health
Genetic Predisposition to Disease,medications_drug_safety,Medications & Drug Safety
Genetic Testing,heart_blood_vessels,Heart & Blood Vessels
"Genital Neoplasms, Female",cancer,Cancer
Genotype,medications_drug_safety,Medications & Drug Safety
Genu Varum,bones_joints_muscles,"Bones, Joints & Muscles"
Geographic Atrophy,medications_drug_safety,Medications & Drug Safety
