mesh_term,primary_category,category_label
Psychomotor Disorders,womens_reproductive,Women's & Reproductive Health
Psychomotor Performance,eye_health,Eye Health
Psychotherapy,mental_health,Mental Health
Psychotic Disorders,mental_health,Mental Health
Psychotropic Drugs,childrens_health,Children's Health
Pterygium,infections,Infections & Infectious Disease
Puberty,childrens_health,Children's Health
Pubic Bone,bones_joints_muscles,"Bones, Joints & Muscles"
Pubic Symphysis,cancer,Cancer
Public Facilities,childrens_health,Children's Health
Public Health,digestive_liver,Digestive System & Liver
Public Health Practice,digestive_liver,Digestive System & Liver
Public Opinion,childrens_health,Children's Health
Publication Bias,brain_nervous_system,Brain & Nervous System
Publishing,ear_nose_throat,"Ear, Nose & Throat"
Puerperal Infection,infections,Infections & Infectious Disease
"Pulmonary Disease, Chronic Obstructive",breathing_lungs,Breathing & Lungs
Pulmonary Embolism,breathing_lungs,Breathing & Lungs
Pulmonary Fibrosis,breathing_lungs,Breathing & Lungs
Pulmonary Medicine,breathing_lungs,Breathing & Lungs
Pulmonary Surfactants,breathing_lungs,Breathing & Lungs
Pulmonary Valve,heart_blood_vessels,Heart & Blood Vessels
Pulmonary Valve Insufficiency,heart_blood_vessels,Heart & Blood Vessels
Pulmonary Ventilation,childrens_health,Children's Health
Pulp Capping and Pulpectomy Agents,childrens_health,Children's Health
Pulpotomy,childrens_health,Children's Health
Pulsatile Flow,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Punctures,medications_drug_safety,Medications & Drug Safety
Pupil,eye_health,Eye Health
"Purpura, Thrombocytopenic, Idiopathic",blood_immune,Blood & Immune Disorders
"Pursuit, Smooth",eye_health,Eye Health
Pyloric Stenosis,childrens_health,Children's Health
Pylorus,childrens_health,Children's Health
Pyramidal Cells,medications_drug_safety,Medications & Drug Safety
Pyramidal Tracts,brain_nervous_system,Brain & Nervous System
Pyridines,bones_joints_muscles,"Bones, Joints & Muscles"
Pyrimidines,blood_immune,Blood & Immune Disorders
Qualitative Research,cancer,Cancer
"Quality Assurance, Health Care",medications_drug_safety,Medications & Drug Safety
Quality Control,womens_reproductive,Women's & Reproductive Health
Quality Improvement,heart_blood_vessels,Heart & Blood Vessels
"Quality Indicators, Health Care",medications_drug_safety,Medications & Drug Safety
Quality of Health Care,heart_blood_vessels,Heart & Blood Vessels
Quality of Life,cancer,Cancer
Quality-Adjusted Life Years,womens_reproductive,Women's & Reproductive Health
Quebec,ear_nose_throat,"Ear, Nose & Throat"
Queensland,cancer,Cancer
Quinolones,mental_health,Mental Health
"RNA, Messenger",blood_immune,Blood & Immune Disorders
"RNA, Neoplasm",blood_immune,Blood & Immune Disorders
ROC Curve,eye_health,Eye Health
Rabbits,digestive_liver,Digestive System & Liver
Racquet Sports,childrens_health,Children's Health
Radiation Dosage,cancer,Cancer
Radiation Injuries,cancer,Cancer
Radiation Oncology,cancer,Cancer
Radiation Protection,medications_drug_safety,Medications & Drug Safety
Radiation Tolerance,cancer,Cancer
Radiographic Image Enhancement,kidney_urinary,Kidney & Urinary Health
"Radiographic Image Interpretation, Computer-Assisted",brain_nervous_system,Brain & Nervous System
Radiography,bones_joints_muscles,"Bones, Joints & Muscles"
"Radiography, Abdominal",cancer,Cancer
"Radiography, Bitewing",dental_oral,Dental & Oral Health
"Radiography, Dental",bones_joints_muscles,"Bones, Joints & Muscles"
"Radiography, Dental, Digital",dental_oral,Dental & Oral Health
"Radiography, Interventional",infections,Infections & Infectious Disease
"Radiography, Thoracic",cancer,Cancer
Radioimmunoassay,cancer,Cancer
Radioisotope Teletherapy,cancer,Cancer
Radiology,emergency_critical_care,Emergency & Critical Care
Radiometry,cancer,Cancer
Radionuclide Angiography,heart_blood_vessels,Heart & Blood Vessels
Radionuclide Imaging,cancer,Cancer
Radiopharmaceuticals,cancer,Cancer
Radiosurgery,medications_drug_safety,Medications & Drug Safety
Radiotherapy,cancer,Cancer
Radiotherapy Dosage,cancer,Cancer
"Radiotherapy Planning, Computer-Assisted",cancer,Cancer
"Radiotherapy, Adjuvant",cancer,Cancer
"Radiotherapy, Conformal",cancer,Cancer
"Radiotherapy, Image-Guided",cancer,Cancer
"Radiotherapy, Intensity-Modulated",cancer,Cancer
Random Allocation,kidney_urinary,Kidney & Urinary Health
Randomized Controlled Trials as Topic,heart_blood_vessels,Heart & Blood Vessels
"Range of Motion, Articular",bones_joints_muscles,"Bones, Joints & Muscles"
Ranula,infections,Infections & Infectious Disease
Rare Diseases,bones_joints_muscles,"Bones, Joints & Muscles"
Rats,digestive_liver,Digestive System & Liver
"Rats, Inbred F344",brain_nervous_system,Brain & Nervous System
"Rats, Sprague-Dawley",digestive_liver,Digestive System & Liver
"Rats, Wistar",hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Reaction Time,brain_nervous_system,Brain & Nervous System
Reading,childrens_health,Children's Health
"Reagent Kits, Diagnostic",infections,Infections & Infectious Disease
"Receptor, ErbB-2",cancer,Cancer
"Receptors, Adrenergic, beta",childrens_health,Children's Health
"Receptors, Dopamine D2",mental_health,Mental Health
"Receptors, Estrogen",womens_reproductive,Women's & Reproductive Health
"Receptors, GABA-A",medications_drug_safety,Medications & Drug Safety
"Receptors, Immunologic",blood_immune,Blood & Immune Disorders
"Receptors, Neurotransmitter",hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
"Receptors, Progesterone",womens_reproductive,Women's & Reproductive Health
"Receptors, Serotonin",mental_health,Mental Health
"Receptors, Somatostatin",cancer,Cancer
"Receptors, Tumor Necrosis Factor",infections,Infections & Infectious Disease
"Receptors, Vasopressin",mental_health,Mental Health
Recognition (Psychology),ear_nose_throat,"Ear, Nose & Throat"
Recombinant Proteins,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Recommended Dietary Allowances,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Reconstructive Surgical Procedures,cancer,Cancer
Records as Topic,brain_nervous_system,Brain & Nervous System
Recovery of Function,bones_joints_muscles,"Bones, Joints & Muscles"
Rectal Diseases,digestive_liver,Digestive System & Liver
Rectal Fistula,childrens_health,Children's Health
Rectal Neoplasms,cancer,Cancer
Rectum,childrens_health,Children's Health
Recurrence,digestive_liver,Digestive System & Liver
Reference Standards,bones_joints_muscles,"Bones, Joints & Muscles"
Reference Values,eye_health,Eye Health
Referral and Consultation,cancer,Cancer
Reflex Sympathetic Dystrophy,bones_joints_muscles,"Bones, Joints & Muscles"
"Reflex, Vestibulo-Ocular",eye_health,Eye Health
"Refraction, Ocular",childrens_health,Children's Health
Refractive Errors,eye_health,Eye Health
Refrigeration,infections,Infections & Infectious Disease
Refusal to Participate,medications_drug_safety,Medications & Drug Safety
Regional Medical Programs,cancer,Cancer
Registries,cancer,Cancer
Regression Analysis,mental_health,Mental Health
Rehabilitation,dental_oral,Dental & Oral Health
Rehabilitation Centers,childrens_health,Children's Health
Reimbursement Mechanisms,childrens_health,Children's Health
Reinforcement (Psychology),ear_nose_throat,"Ear, Nose & Throat"
Religion and Medicine,infections,Infections & Infectious Disease
Reminder Systems,medications_drug_safety,Medications & Drug Safety
"Remission, Spontaneous",kidney_urinary,Kidney & Urinary Health
Remote Consultation,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Renal Dialysis,kidney_urinary,Kidney & Urinary Health
Renal Insufficiency,blood_immune,Blood & Immune Disorders
"Renal Insufficiency, Chronic",kidney_urinary,Kidney & Urinary Health
Renal Replacement Therapy,kidney_urinary,Kidney & Urinary Health
Renal Veins,cancer,Cancer
Reoperation,digestive_liver,Digestive System & Liver
Reperfusion Injury,childrens_health,Children's Health
Replantation,brain_nervous_system,Brain & Nervous System
Reproducibility of Results,cancer,Cancer
Reproduction,womens_reproductive,Women's & Reproductive Health
Reproductive Behavior,womens_reproductive,Women's & Reproductive Health
Reproductive Medicine,womens_reproductive,Women's & Reproductive Health
"Reproductive Techniques, Assisted",womens_reproductive,Women's & Reproductive Health
Republic of Korea,kidney_urinary,Kidney & Urinary Health
Rescue Work,emergency_critical_care,Emergency & Critical Care
Research,ear_nose_throat,"Ear, Nose & Throat"
Research Design,womens_reproductive,Women's & Reproductive Health
Research Support as Topic,ear_nose_throat,"Ear, Nose & Throat"
Residence Characteristics,childrens_health,Children's Health
Resource Allocation,kidney_urinary,Kidney & Urinary Health
Respiration,heart_blood_vessels,Heart & Blood Vessels
Respiration Disorders,childrens_health,Children's Health
"Respiration, Artificial",medications_drug_safety,Medications & Drug Safety
"Respiratory Distress Syndrome, Adult",breathing_lungs,Breathing & Lungs
"Respiratory Distress Syndrome, Newborn",breathing_lungs,Breathing & Lungs
Respiratory Function Tests,breathing_lungs,Breathing & Lungs
Respiratory Insufficiency,emergency_critical_care,Emergency & Critical Care
Respiratory Sounds,hormones_metabolism_nutrition,"Hormones, Metabolism & Nutrition"
Respiratory System,breathing_lungs,Breathing & Lungs
Respiratory Therapy,breathing_lungs,Breathing & Lungs
"Respiratory Therapy Department, Hospital",breathing_lungs,Breathing & Lungs
Respiratory Tract Diseases,childrens_health,Children's Health
Respiratory Tract Fistula,childrens_health,Children's Health
Respiratory Tract Infections,childrens_health,Children's Health
Rest,heart_blood_vessels,Heart & Blood Vessels
Resuscitation,breathing_lungs,Breathing & Lungs
Retinal Diseases,eye_health,Eye Health
